# ----------二叠字	----------
三个水	淼 㴇
三个泉	灥
三个火	焱 㷋
三个牛	犇
三个犬	猋
三个田	畾
三个白	皛
三个目	瞐
三个直	矗
三个石	磊
三个羊	羴
三个耳	聶
三个舌	舙 𦧵
三个屮	芔
三个虫	蟲
三个言	譶 𧭛
三个贝	赑
三个車	轟
三个金	鑫
三个隹	雥 雦
三个雷	靐
三个風	飍
三个飛	飝
三个香	馫
三个马	骉 𩧢
三个魚	鱻
三个鹿	麤
三个龍	龘
三个个	𠁭
三个丶	𠁼
三个了	𠄕
三个介	𠌕
三个企	𠐰
三个舍	𠑰
三个圥	𠒶
三个光	𠓉
三个兔	𠓗
三个全	𠓾
三个𠙽	𠚛
三个𠧪	𠨋
三个㔾	𠨕
三个厡	𠫒
三个可	𠾳
三个因	𡈲
三个夏	𡖃
三个大	𡘙
三个天	𡙎
三个太	𡙒
三个𦉼	𡚤
三个宝	𡬏
三个宜	𡬐
三个客	𡬚
三个寒	𡬜
三个少	𡮏
三个山	𡷈
三个市	𢅈
三个文	𣁕
三个斗	𣁾
三个朿	𣝯
三个束	𣠆
三个林	𣡕
三个果	𣡗
三个欠	𣣓
三个𣥚	𣦴
三个爪	𤔙
三个妥	𤕇
三个用	𤰌
三个甲	𤳅
三个百	𤾩
三个盖	𥃣
三个県	𥍙
三个空	𥩌
三个亇	𥫮 𥫧
三个竹	𥴒
三个罒	𦋹
三个羗	𦏱
三个老	𦓈
三个月	𦜳
三个至	𦥏
三个興	𦧅
三个足	𨆬
三个㖖	𨑂
三个門	𨷮
三个面	𩉖
三个頁	𩖏
三个鳥	𪈼
三个男	𪟧
三个立	𫁪
三个九	𫡤
三个也	𫡩
三个加	𫦹
三个動	𫦿
三个千	𫧢
三个方	𬀉
三个朔	𬂚
三个玉	𬍼
三个申	𬏍
三个𡿨	巛
三个去	𠬑
三个弓	𢏝
三个䖝	𧔗
三个丿	彡
三个户	𢩕
三个瓜	𤬑
三个鸟	𪉓
三个米	𥼬
# ----------三叠字2	----------
生生生	㽓
秦秦秦	䆐
若若若	䖃
雲雲雲	䨺
人人人	众 㐺
刀刀刀	刕
十十十	卉 𠦄
力力力	劦
原原原	厵
厶厶厶	厽
又又又	叒
口口口	品 𠱠
七七七	㐂
吉吉吉	嚞 𡕇
土土土	垚
士士士	壵
女女女	姦
子子子	孨 𡥦
小小小	尛 𡭯
心心心	惢
手手手	掱
日日日	晶 晿
木木木	森 𣓏
止止止	歮
毛毛毛	毳
水水水	淼 㴇
泉泉泉	灥
火火火	焱 㷋
牛牛牛	犇
犬犬犬	猋
田田田	畾
白白白	皛
目目目	瞐
直直直	矗
石石石	磊
羊羊羊	羴
耳耳耳	聶
舌舌舌	舙 𦧵
屮屮屮	芔
虫虫虫	蟲
言言言	譶 𧭛
贝贝贝	赑
車車車	轟
金金金	鑫
隹隹隹	雥 雦
雷雷雷	靐
風風風	飍
飛飛飛	飝
香香香	馫
马马马	骉 𩧢
魚魚魚	鱻
鹿鹿鹿	麤
龍龍龍	龘
个个个	𠁭
丶丶丶	𠁼
了了了	𠄕
介介介	𠌕
企企企	𠐰
舍舍舍	𠑰
圥圥圥	𠒶
光光光	𠓉
兔兔兔	𠓗
全全全	𠓾
𠙽𠙽𠙽	𠚛
𠧪𠧪𠧪	𠨋
㔾㔾㔾	𠨕
厡厡厡	𠫒
可可可	𠾳
因因因	𡈲
夏夏夏	𡖃
大大大	𡘙
天天天	𡙎
太太太	𡙒
𦉼𦉼𦉼	𡚤
宝宝宝	𡬏
宜宜宜	𡬐
客客客	𡬚
寒寒寒	𡬜
少少少	𡮏
山山山	𡷈
市市市	𢅈
文文文	𣁕
斗斗斗	𣁾
朿朿朿	𣝯
束束束	𣠆
林林林	𣡕
果果果	𣡗
欠欠欠	𣣓
𣥚𣥚𣥚	𣦴
爪爪爪	𤔙
妥妥妥	𤕇
用用用	𤰌
甲甲甲	𤳅
百百百	𤾩
盖盖盖	𥃣
県県県	𥍙
空空空	𥩌
亇亇亇	𥫮 𥫧
竹竹竹	𥴒
罒罒罒	𦋹
羗羗羗	𦏱
老老老	𦓈
月月月	𦜳
至至至	𦥏
興興興	𦧅
足足足	𨆬
㖖㖖㖖	𨑂
門門門	𨷮
面面面	𩉖
頁頁頁	𩖏
鳥鳥鳥	𪈼
男男男	𪟧
立立立	𫁪
九九九	𫡤
也也也	𫡩
加加加	𫦹
動動動	𫦿
千千千	𫧢
方方方	𬀉
朔朔朔	𬂚
玉玉玉	𬍼
申申申	𬏍
𡿨𡿨𡿨	巛
去去去	𠬑
弓弓弓	𢏝
䖝䖝䖝	𧔗
丿丿丿	彡
户户户	𢩕
瓜瓜瓜	𤬑
鸟鸟鸟	𪉓
米米米	𥼬
# ----------四叠字	----------
四个乂	㸚
四个人	𠈌
四个厶	𠫬
四个又	叕
四个匕	𣬅
四个工	㠭
四个口	㗊
四个天	𡚌
四个小	𡮐
四个屮	茻
四个火	燚
四个牛	𤛭
四个魚	䲜
四个月	朤
四个日	𣊫
四个曰	𣊭
四个林	𣡽
四个水	㵘
四个石	𥗉
四个田	𤳳
四个甲	𤳵
四个且	𠁠
四个囚	𡈶
四个困	𡈹
四个竹	𥷹
四个老	𦓋
四个朿	𣡍
四个先	𠓙
四个金	𨰻
四个泉	𤆁
四个言	𧮦
四个門	𨷾
四个果	𣡾
四个春	𣌠
四个車	𨏿
四个風	𩙡
四个雷	䨻
四个雲	𩇔
四个興	𠔻
四个龍	𪚥
四个土	㙓
# ----------四叠字2	----------
乂乂乂乂	㸚
人人人人	𠈌
厶厶厶厶	𠫬
又又又又	叕
匕匕匕匕	𣬅
工工工工	㠭
口口口口	㗊
天天天天	𡚌
小小小小	𡮐
屮屮屮屮	茻
火火火火	燚
牛牛牛牛	𤛭
魚魚魚魚	䲜
月月月月	朤
日日日日	𣊫
曰曰曰曰	𣊭
林林林林	𣡽
水水水水	㵘
石石石石	𥗉
田田田田	𤳳
甲甲甲甲	𤳵
且且且且	𠁠
囚囚囚囚	𡈶
困困困困	𡈹
竹竹竹竹	𥷹
老老老老	𦓋
朿朿朿朿	𣡍
先先先先	𠓙
金金金金	𨰻
泉泉泉泉	𤆁
言言言言	𧮦
門門門門	𨷾
果果果果	𣡾
春春春春	𣌠
車車車車	𨏿
風風風風	𩙡
雷雷雷雷	䨻
雲雲雲雲	𩇔
興興興興	𠔻
龍龍龍龍	𪚥
土土土土	㙓
